Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1813188,GCC390553,GCC83028,12/80ct Mk &amp; Cml Sqrs Bag FG,Retail Packaging,168,0,168,2019-Jul-19 09:00 PM,Open
1813186,GCC390764,GCC40950,12/11.5OZ ASST LG ED CS DSC,Co-Pack Finished Good,11000,8123,2877,2019-Jun-19 09:00 PM,Closed
1813185,GCC390746,GCC41069,280/14/21.3oz CAR TRIO XL SUB,Co-Pack Finished Good,28,0,28,2019-Jun-20 09:00 PM,Open
1813184,GCC390973,GCC40167,6/4.6oz DK SS CAR mini SUB,Co-Pack Finished Good,4260,0,4260,2019-Jun-29 09:00 PM,Booked
1813183,GCC391616,GCC62107,12/4.25oz ASST SQ SM Gift Box,Co-Pack Finished Good,1200,261,939,2019-Jun-19 09:00 PM,Booked
1813182,GCC391617,GCC62107,12/4.25oz ASST SQ SM Gift Box,Co-Pack Finished Good,1200,0,1200,2019-Jun-10 09:00 PM,Booked
1813181,GCC391817,GCC40164,6/4.6oz ED MK CAR mini SU,Co-Pack Finished Good,4000,0,4000,2019-Jun-19 09:00 PM,Booked
1813180,GCC391907,GCC40894,5/4.12oz ID SS Soir SUB SRC,Co-Pack Finished Good,4000,0,4000,2019-Jun-20 12:00 AM,Open
1813179,GCC391939,GCC61868,6/5.32oz DK RASP SQ SUB Nest,Co-Pack Finished Good,15000,15000,0,2019-Jun-10 09:00 PM,Closed
1813178,GCC391927,GCC61857,6/4.12oz ID SS Soiree SUB Nest,Co-Pack Finished Good,17000,0,17000,2019-Jun-19 09:00 PM,Booked
1813177,GCC391940,GCC61868,6/5.32oz DK RASP SQ SUB Nest,Co-Pack Finished Good,17000,17000,0,2019-Jun-10 09:00 PM,Closed
1813176,GCC392022,GCC41053,402/MXD BKG DSPLY QTRPL,Co-Pack Finished Good,438,0,438,2019-Jun-19 09:00 PM,Open
1813175,GCC392027,GCC41054,360/BKG CHIP DSPLY QTRPL,Co-Pack Finished Good,1000,0,1000,2019-Jun-19 09:00 PM,Open
1813174,GCC393204,GCC40304,18/4.3oz XM PBK mini SUB150,Co-Pack Finished Good,8000,4930,3070,2019-Jun-11 09:00 PM,Booked
1813172,GCC393194,GCC40241,12/4.1oz XM MK FB SNWM SUB200,Co-Pack Finished Good,7000,2590,4410,2019-Jun-19 09:00 PM,Booked
1813171,GCC393198,GCC40251,10/5.9 XM MKCAR FB SNWM 400 WM,Co-Pack Finished Good,5397,0,5397,2019-Jun-19 09:00 PM,Open
1813170,GCC392331,GCC61864,6/5.32oz MLKCAR SQ SUB Nest,Co-Pack Finished Good,17339,17339,0,2019-Jun-16 09:00 PM,Closed
